                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4212,                 3.4841,                 2.4548,                0.00267,                0.66667,                0.03122,                0.00857,                 2.7431,                 4.6573,                 2.8256,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.3605,                 3.3809,                 2.3834,                0.00333,                0.83333,                0.02281,                0.00445,                 2.5499,                  4.739,                 2.8568,             0.00013723,             0.00013723,             0.00013723
                      3,                 2.3446,                 3.2254,                 2.4886,                  0.004,                      1,                0.10689,                0.02282,                 2.6764,                 4.7414,                 2.7065,             0.00021129,             0.00021129,             0.00021129
                      4,                 1.7433,                 2.8009,                 1.9881,                  0.004,                      1,                0.57183,                0.16364,                  2.098,                 4.0996,                 2.2494,             0.00028218,             0.00028218,             0.00028218
                      5,                 1.6022,                 2.4383,                 1.6484,                  0.004,                      1,                0.44475,                0.15379,                 2.0129,                 3.7807,                 2.3095,              0.0003499,              0.0003499,              0.0003499
                      6,                   1.65,                 2.2062,                 1.6962,                  0.004,                      1,                 0.4509,                0.13884,                 2.2359,                 4.2491,                 2.7171,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.6414,                 2.0805,                  1.733,                  0.004,                      1,                0.50934,                0.11725,                 2.4567,                 4.0663,                  2.847,             0.00047585,             0.00047585,             0.00047585
                      8,                 1.5396,                 2.0042,                  1.575,                  0.004,                      1,                0.75083,                0.28313,                 1.8899,                 3.6319,                 2.1857,             0.00053407,             0.00053407,             0.00053407
                      9,                 1.3428,                 1.7208,                 1.4038,                      1,                0.26185,                0.62838,                 0.2189,                 2.0043,                 3.9547,                 2.3875,             0.00058912,             0.00058912,             0.00058912
                     10,                  1.374,                  1.701,                 1.3814,                  0.004,                      1,                0.39721,                0.17213,                  1.832,                 3.8423,                  2.207,               0.000641,               0.000641,               0.000641
                     11,                 1.4398,                 1.7676,                 1.4616,                0.46083,                0.15361,                0.18609,                0.06895,                 1.8395,                 3.9254,                 2.3024,             0.00068972,             0.00068972,             0.00068972
                     12,                 1.3802,                 1.4743,                 1.3966,                0.79487,                0.33333,                0.67833,                0.25685,                 1.7995,                 3.3853,                 1.8795,             0.00073527,             0.00073527,             0.00073527
                     13,                 1.3901,                 1.7803,                 1.4432,                0.22325,                0.43461,                0.30293,                0.12574,                 1.8684,                 3.3597,                 2.0332,             0.00077765,             0.00077765,             0.00077765
                     14,                 1.3241,                 1.6104,                 1.4377,                0.13355,                0.66667,                 0.1253,                0.04853,                 2.0259,                 3.5413,                 2.3244,             0.00081686,             0.00081686,             0.00081686
